collect_date,tubes_n,neg_n,pos_n,inc_n,null_n,invl_n,fail_n,sum_results_n
2021-12-24,3,1,1,0,1,0,0,3
2021-12-26,2,1,0,0,1,0,0,2
2021-12-27,27,20,5,0,2,0,0,27
2021-12-28,111,73,22,0,16,0,0,111
2021-12-29,110,88,12,0,10,0,0,110
2021-12-30,95,79,8,0,8,0,0,95
2021-12-31,28,24,3,0,1,0,0,28
2022-01-01,21,16,3,0,2,0,0,21
2022-01-02,26,19,5,0,2,0,0,26
2022-01-03,138,113,15,0,10,0,0,138
2022-01-04,160,135,17,0,8,0,0,160
2022-01-05,157,138,16,0,3,0,0,157
2022-01-06,150,128,18,0,4,0,0,150
2022-01-07,144,125,15,0,4,0,0,144
2022-01-08,49,41,8,0,0,0,0,49
2022-01-09,30,25,4,0,1,0,0,30
2022-01-10,161,135,13,0,13,0,0,161
2022-01-11,156,126,17,0,13,0,0,156
2022-01-12,179,153,13,0,13,0,0,179
2022-01-13,152,129,16,0,7,0,0,152
2022-01-14,123,105,8,0,10,0,0,123
2022-01-15,49,47,2,0,0,0,0,49
2022-01-16,38,33,5,0,0,0,0,38
2022-01-17,46,43,1,0,2,0,0,46
2022-01-18,154,132,15,0,7,0,0,154
2022-01-19,171,149,9,0,13,0,0,171
2022-01-20,158,150,6,0,2,0,0,158
2022-01-21,132,124,4,0,4,0,0,132
2022-01-22,46,43,3,0,0,0,0,46
2022-01-23,39,36,3,0,0,0,0,39
2022-01-24,159,149,6,0,4,0,0,159
2022-01-25,146,134,9,0,3,0,0,146
2022-01-26,160,151,5,0,4,0,0,160
2022-01-27,149,142,4,0,3,0,0,149
2022-01-28,135,123,4,0,8,0,0,135
2022-01-29,48,46,2,0,0,0,0,48
2022-01-30,47,47,0,0,0,0,0,47
2022-01-31,142,134,2,0,6,0,0,142
2022-02-01,151,140,3,0,8,0,0,151
2022-02-02,139,130,4,0,5,0,0,139
2022-02-03,145,137,3,0,5,0,0,145
2022-02-04,111,104,2,0,5,0,0,111
2022-02-05,46,43,0,0,3,0,0,46
2022-02-06,39,38,1,0,0,0,0,39
2022-02-07,133,128,1,0,4,0,0,133
2022-02-08,135,130,1,0,4,0,0,135
2022-02-09,132,126,1,0,5,0,0,132
2022-02-10,134,128,3,0,3,0,0,134
2022-02-11,120,115,1,0,4,0,0,120
2022-02-12,47,45,1,0,1,0,0,47
2022-02-13,43,41,0,0,2,0,0,43
2022-02-14,129,123,0,0,6,0,0,129
2022-02-15,151,146,1,0,4,0,0,151
2022-02-16,138,133,1,0,4,0,0,138
2022-02-17,137,135,0,0,2,0,0,137
2022-02-18,107,102,1,0,4,0,0,107
2022-02-19,41,39,0,0,2,0,0,41
2022-02-20,31,31,0,0,0,0,0,31
2022-02-21,38,38,0,0,0,0,0,38
2022-02-22,126,123,0,0,3,0,0,126
2022-02-23,129,126,1,0,2,0,0,129
2022-02-24,129,125,0,0,4,0,0,129
2022-02-25,104,102,0,0,2,0,0,104
2022-02-26,27,25,0,0,2,0,0,27
2022-02-27,17,13,0,0,4,0,0,17
2022-02-28,66,62,0,0,4,0,0,66
2022-03-01,29,28,0,0,1,0,0,29
2022-03-02,22,22,0,0,0,0,0,22
2022-03-03,19,17,0,0,2,0,0,19
2022-03-04,11,7,0,0,4,0,0,11
2022-03-05,6,2,0,0,4,0,0,6
2022-03-07,1,0,0,0,1,0,0,1
